Nombre,Musculos,Descripcion,Imagen,Tag
Press Arnold,Hombro,"Sentados en un banco con respaldo con los pies apoyados en el suelo. Con los brazos doblados con las palmas mirando al cuerpo,sujetad una mancuerna en cada mano a la altura del cuello. Tomad aire y aguantar la respiración mientras subís las pesas la mirada al frente. Cuando las mancuernas superan la cabeza, girad las palmas hacia afuera (agarre prono) mientras se extienden los brazos. Expulsad el aire en la posición final. Deteneos un instante y volver controladamente a la posición inicial girando las palmas de las manos a medida que bajéis las mancuernas.","https://www.cambiatufisico.com/wp-content/uploads/2011/02/press-arnold.jpg","Deltoides"
Elevaciones laterales sentado,Hombro,"Sujetad las mancuernas por la parte externa de los muslos, con las palmas mirando hacia dentro. Doblad ligeramente los codos y mantenedlos así durante todo el recorrido. Si empezáis a abrir y a cerrar los codos, reduciréis el aislamiento del hombro medio. Elevad los pesos hacia fuera haciendo un arco amplio hasta el nivel de los hombros. Es importante mantener los codos por encima de las manos al comienzo del ajercicio, llevándolos en el mismo plano horizontal en la posición de arriba.","https://www.cambiatufisico.com/wp-content/uploads/2011/02/Elevaciones-laterales-sentado.jpg","Deltoides"
Aperturas invertidas en máquina contractora,Hombro,"Ajusta la altura del asiento para poder coger los agarres con un agarre neutral (palmas enfrentadas). El pecho debe estar en contacto con el soporte del aparato durante todo el ejercicio. Toma aire y aguanta la respiración mientras llevas los brazos atrás todo lo posible. Los codos deben finalizar bastante por detrás de la espalda. Cuando los brazos estén tan atrás como sea posible, aguanta durante un segundo y luego expulsa el aire para regresar a la posición inicial de forma controlada.","https://www.cambiatufisico.com/wp-content/uploads/2009/12/Aperturas-invertidas-en-contractora.jpg","Deltoides,Dorsal"
Prensa Inclinada,Cuadriceps,"Coloque los pies en la máquina, con las rodillas separadas a la anchura de os hombros y la punta de los pies rectas o ligeramente giradas hacia fuera. Mantenga la zona baja y media de la espalda plana contra el almohadillado del respaldo y la cabeza en posición neutra. Extienda los tobillos, rodillas y caderas. Presione con la parte media de los pies sobre la plataforma de la máquina, usando la misma presión de empuje en ambos. Detenga el movimiento justo antes de bloquear las rodillas. Regrese lentamente a la posición inicial mediante la flexión de los tobillos, rodillas y caderas.","https://www.cambiatufisico.com/wp-content/uploads/Prensa-Inclinada.jpg","cuadriceps"
Sentadilla con barra,Cuadriceps,"De pie, apoye la barra en los hombros. Los pies deben mantenerse separados a la distancia del ancho de los hombros. Flexione lentamente las rodillas hasta que los muslos y el gemelo formen más o menos un ángulo de 90º. Estire las piernas para regresar a la posición inicial.","https://www.cambiatufisico.com/wp-content/uploads/sentadilla6.jpg","cuádriceps,gluteos,femoral,aductores,erectores espinales,abdominales"
Extensiones en máquina,Cuadriceps,"La posición sentada permite manejar cargas elevadas sin ningún riesgo de sobrecarga en otras articulaciones. Una vez estemos sentado en la máquina debes ajustar los apoyos: el final del asiento debe coincidir con el hueco poplíteo (detrás de la rodilla) y la zona lumbar en contacto con el respaldo, finalmente regula el rodillo del brazo de palanca colocándolo al final de la tibia, en la articulación del tobillo. Inicia el movimiento de extensión desde una flexión de La rodilla de 90°, no menos y realiza la extensión de la pierna hasta llegar de forma controlada a la extensión completa de la rodilla. Intenta que en este movimiento de extensión las dos piernas trabajen por igual, normalmente se tiende a realizar mas esfuerzo con la pierna dominante.","https://www.cambiatufisico.com/wp-content/uploads/Extensiones-en-maquina.jpg","Cuadriceps"
Peso muerto piernas rígidas con barra,Femoral,"Con los pies separados aproximadamente la anchura de los hombros y la espalda arqueada muy ligeramente hacia atrás, flexionar el tronco y elevar del suelo dos mancuernas o una barra. Emplear un agarre natural con las mancuernas; es decir, en semipronación, que es una posición intermedia entre la neutra (con los pulgares hacia delante) y la pronada (con los pulgares enfrentados). Con la barra usar el agarre en pronación. Incorporarse usando la fuerza de los isquiotibiales y los gluteos mientras las piernas se mantienen semiestiradas. Una vez en posición erguida de pie, flexionar el tronco sin doblar las piernas, para regresar a la posición inicial. Las pesas no tienen que tocar el suelo antes de empezar otra repetición. Puede que, al principio, tengas dificultades para mantener estiradas las piernas. En ese caso, no dudes en doblarlas ligeramente. No obstante, ten presente que flexionarlas en exceso reducirá la tensión sobre los isquiotibiales.","https://www.cambiatufisico.com/wp-content/uploads/peso-muerto-piernas-rigidas1.jpg","isquiotibiales,gluteos,región lumbar,cuádriceps."
Femoral en máquina tumbado,Femoral,"","https://www.cambiatufisico.com/wp-content/uploads/Femoral-en-maquina-tumbado.jpg","femoral,gluteo"
Gemelo en prensa,Gemelo,"","https://www.cambiatufisico.com/wp-content/uploads/Gemelo-en-prensa.jpg","Gemelo"
Gemelo en máquina de pie,Gemelo,"Este ejercicio, en el que los hombros se ven apretados por unas palancas acolchadas y los talones apuntan hacia el suelo, es el más popular de todos los de gemelos. Sin embargo, a pesar de su popularidad suele realizarse de forma incorrecta. Es habitual ver que el culturista bloquea las piernas, pues piensa que si elimina los cuádriceps de la ecuación obligará a los gemelos a trabajar más. La intención es buena, pero este razonamiento está mal planteado. Es importante mantener las rodillas algo dobladas, los abdominales tensos y la zona lumbar arqueada, ya que la gran presión que ejerce el peso desde arriba convierte al más sencillo de los ejercicios en un peligro para la espalda y las rodillas si no están bien colocadas. No podemos negar que las elevaciones de gemelos sentado aportan estabilidad a la rodilla, pero este ejercicio no consigue desarrollar el músculo en forma de diamante (el gastrocnemio), que es el más reconocible en la zona de los gemelos. Ese honor corresponde a la versión de pie que vemos en esta página. Cualquier ejercicio de gemelos en el que las piernas estén rectas incidirá mejor sobre el gastrocnemio. Esto incluye las elevaciones de gemelos tipo burro e incluso los ejercicios en máquina sentado en los que la cadera está doblada, pero las piernas rectas.","https://www.cambiatufisico.com/wp-content/uploads/Gemelo-en-maquina-de-pie.jpg","Gemelo"
Crunch en polea de tríceps,Abdomen,"Este ejercicio trabaja la totalidad del abdomen y es un ejercicio a nuestro parecer imprescindible en tu rutina de abdominales ya que permite trabajar el abdomen con peso. Expulsad el aire a medida que hacéis fuerza contra la resistencia, flexionando la espina dorsal mediante la contracción de los abdominales. Al llegar a la posición final, expulsad el aire restante en los pulmones y contraed a tope oblicuos y abdominales durante un momento. Tomad aire al regresar lentamente al punto de partida.","https://www.cambiatufisico.com/wp-content/uploads/Encogimientos-en-polea.jpg","abdominales superiores"
Encogimientos,Abdomen,"Mientras te elevas, redondea la parte superior de la espalda. Cuando estés en la posición más elevada, mira fijamente hacia el horizonte y aguanta en esa posición durante un segundo aproximadamente. A continuación expulsa el aire y vuelve a la posición inicial. Puedes hacer el ejercicio más difícil extendiendo las manos sobre la cabeza o sujetando un peso sobre el pecho.","https://www.cambiatufisico.com/wp-content/uploads/Encogimientos-abdominales-en-suelo.jpg","abdominal superior"
Encogimientos,Abdomen,"Su ejecución es muy parecida a la del encogimiento normal, la única diferencia esque las piernas estan elevadas en un ángulo de 90º. El tener las piernas elevadas permite que sea más fácil mantener la zona lumbar pegada al suelo durante la ejecución del ejercicio. Si tu viéramos que elegir entre el encogimiento normal y el presente ejercicio elegiríamos este sin duda.","https://www.cambiatufisico.com/wp-content/uploads/Encogimientos-con-piernas-en-balon-de-ejercicio.jpg","abdominal superior"
Encogimientos a rodilla contraria,Abdomen,"Tumbados sobre una colchoneta llevamos cada codo a la rodilla contraria mientras la otra pierna se mantiene extendida. En este ejercicio, al dejar las piernas elevadas, la tensión sobre el abdomen es constante. Las repeticiones se hacen alternas para cada lado. Puede resultar un ejercicio un poco duro para gente principiante, por ese motivo es conveniente empezar por los Encogimientos para oblicuos normales descritos justo debajo.","https://www.cambiatufisico.com/wp-content/uploads/Encogimientos-con-codo-a-rodilla-contraria.jpg","abdominal oblicuo"
Encogimiento para oblicuos,Abdomen,"Tumbados sobre una colchoneta como se observa en la foto en esta ocasión se realizan todas las repeticiones de un lado y posteriormente las del lado contrario. Se puede aumentar la dificultad elevando las dos piernas al mismo tiempo que se hace el encogimiento. Es un ejercicio muy recomendable para gente principiante y que como vemos se puede hacer en cualquier parte.","https://www.cambiatufisico.com/wp-content/uploads/Encogimientos-para-oblicuos-tumbado-de-lado.jpg","abdominal oblicuo"
Encogimientos laterales dedos a los tobillos,Abdomen,"Este ejercicio es similar a los encogimientos alternos pero un poco menos intenso debido a que las piernas reposan sobre el suelo. Se hacen las repeticiones alternando de lado a lado. El movimiento debe ser en todo momento lento y controlado para evitar dolores en el cuello. Es fundamental sentir como trabajan los oblicuos, intentar localizar el esfuerzo en esa zona, en caso contrario no lo estaremos haciendo bien.","https://www.cambiatufisico.com/wp-content/uploads/Encogimientos-laterales-dedos-a-los-tobillos.jpg","abdominal oblicuo"
Elevación de piernas,Abdomen,"Sentados sobre un banco, levantamos las piernas en dirección al pecho, es importante a la hora de realizarlo el sentir la contracción en la zona inferior del abdomen. Su ejecución es complicada por lo tanto no dudes en preguntar al monitor de tu gimnasio a la más mínima sospecha de que no lo estas haciendo correctamente. Es importante tener presente que el objetivo es elevar las piernas utilizando el abdomen y no simplemente doblar las piernas con las rodillas.","https://www.cambiatufisico.com/wp-content/uploads/Pull-in-en-banco-plano.jpg","abdominal inferior"
Encogimiento invertido en banco declinado,Abdomen,"Tumbados en un banco, agarrados con ambas manos, elevamos la pelvis sintiendo la contracción principalmente en la zona inferior del abdomen. Empezar y acabar en la posición correcta es de extrema importancia en este ejercicio, mirar con atención las fotografías. Para subir el nivel del ejercicio basta con aumentar la inclinación del banco.","https://www.cambiatufisico.com/wp-content/uploads/Encogimientos-invertidos-en-banco-declinado.jpg","abdominal inferior"
Elevaciones en banco inclinado,Abdomen,"Este ejercicio es similar al ejercicio anterior pero puede resultar más peligroso para la zona lumbar. En ningún momento durante la ejecución del ejercicio la zona lumbar debe despegarse del banco. Este ejercicio además de poner más énfasis en los abdominales inferiores también trabaja el psoas, un musculo no visible de la cadera pero que resulta útil trabajar para realizar movimientos atléticos. Para subir el nivel del ejercicio basta con aumentar la inclinación del banco.","https://www.cambiatufisico.com/wp-content/uploads/Elevaciones-de-piernas-en-banco-plano.jpg","abdominal inferior"
